Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/9/24,vanguardh5.site,Bolivia,3,0,0.00%,0.00,0.84,4,100.00%
11/9/24,vanguardh5.site,Brazil,"1,241",30,2.42%,4.78,3.85,"1,679",95.83%
11/9/24,vanguardh5.site,Canada,"5,826",146,2.51%,208.13,35.73,"8,125",95.46%
11/9/24,vanguardh5.site,China,3,0,0.00%,0.00,0.84,4,100.00%
11/9/24,vanguardh5.site,Taiwan,3,0,0.00%,0.00,0.85,4,100.00%
11/9/24,vanguardh5.site,Costa Rica,3,0,0.00%,0.01,4.52,4,100.00%
11/9/24,vanguardh5.site,Dominican Republic,3,0,0.00%,0.00,1.00,4,100.00%
11/9/24,vanguardh5.site,Finland,"1,940",69,3.56%,80.31,41.40,"2,390",87.82%
11/9/24,vanguardh5.site,France,"5,016",122,2.43%,85.56,17.06,"5,408",98.59%
11/9/24,vanguardh5.site,French Guiana,19,0,0.00%,0.12,6.48,20,100.00%
11/9/24,vanguardh5.site,Germany,"6,675",204,3.06%,161.86,24.25,"7,345",96.81%
11/9/24,vanguardh5.site,Greece,"3,217",88,2.74%,28.14,8.75,"3,638",94.64%
11/9/24,vanguardh5.site,India,5,0,0.00%,0.00,0.98,6,100.00%
11/9/24,vanguardh5.site,Indonesia,794,23,2.90%,1.16,1.46,"1,064",93.89%
11/9/24,vanguardh5.site,Italy,3,0,0.00%,0.00,0.73,3,100.00%
11/9/24,vanguardh5.site,Japan,"1,477",41,2.78%,43.00,29.11,"1,987",95.67%
11/9/24,vanguardh5.site,Liechtenstein,3,0,0.00%,0.06,19.91,3,100.00%
11/9/24,vanguardh5.site,Netherlands,"1,737",41,2.36%,50.23,28.92,"1,965",94.96%
11/9/24,vanguardh5.site,Portugal,"1,366",41,3.00%,11.99,8.78,"1,561",92.25%
11/9/24,vanguardh5.site,Romania,3,0,0.00%,0.02,7.23,3,100.00%
