Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/11/24,funtimeh5.site,Guyana,2,0,0.00%,0.00,1.04,3,100.00%
11/11/24,funtimeh5.site,Iraq,3,0,0.00%,0.00,0.27,4,100.00%
11/11/24,funtimeh5.site,Italy,"2,569",76,2.96%,33.90,13.19,"2,875",93.43%
11/11/24,funtimeh5.site,Jamaica,9,1,11.11%,0.02,2.54,12,100.00%
11/11/24,funtimeh5.site,Japan,"3,367",77,2.29%,81.44,24.19,"4,552",88.05%
11/11/24,funtimeh5.site,Kenya,18,0,0.00%,0.01,0.44,22,100.00%
11/11/24,funtimeh5.site,Latvia,2,0,0.00%,0.02,8.93,2,100.00%
11/11/24,funtimeh5.site,Mexico,5,0,0.00%,0.01,1.86,8,100.00%
11/11/24,funtimeh5.site,Netherlands,"4,074",119,2.92%,125.16,30.72,"4,484",94.87%
11/11/24,funtimeh5.site,Philippines,3,0,0.00%,0.00,0.10,4,100.00%
11/11/24,funtimeh5.site,Puerto Rico,3,0,0.00%,0.01,3.72,4,100.00%
11/11/24,funtimeh5.site,Romania,8,1,12.50%,0.03,3.98,11,100.00%
11/11/24,funtimeh5.site,Singapore,"2,682",59,2.20%,41.71,15.55,"3,476",93.01%
11/11/24,funtimeh5.site,Spain,800,24,3.00%,9.07,11.33,870,94.83%
11/11/24,funtimeh5.site,Switzerland,"2,714",84,3.10%,132.82,48.94,"3,035",93.54%
11/11/24,funtimeh5.site,United Arab Emirates,12,0,0.00%,0.03,2.17,12,100.00%
11/11/24,funtimeh5.site,Ukraine,3,0,0.00%,0.01,3.51,4,100.00%
11/11/24,funtimeh5.site,United Kingdom,"3,209",95,2.96%,74.68,23.27,"3,484",96.01%
11/11/24,funtimeh5.site,United States,"7,900",163,2.06%,287.05,36.34,"11,300",89.50%
11/11/24,funtimeh5.site,Venezuela,3,0,0.00%,0.00,0.90,4,100.00%
11/11/24,skylandh5games.site,N/A,3,0,0.00%,0.00,0.27,7,42.86%
11/11/24,skylandh5games.site,Australia,"1,331",34,2.55%,33.40,25.09,"1,641",92.75%
11/11/24,skylandh5games.site,Austria,"7,276",236,3.24%,245.47,33.74,"8,534",88.73%
11/11/24,skylandh5games.site,Belgium,"5,626",164,2.92%,140.29,24.94,"6,701",87.20%
11/11/24,skylandh5games.site,Brazil,"1,107",15,1.36%,5.23,4.72,"1,281",97.66%
11/11/24,skylandh5games.site,Cameroon,5,0,0.00%,0.01,2.78,5,100.00%
11/11/24,skylandh5games.site,Canada,597,10,1.68%,17.44,29.22,756,93.65%
11/11/24,skylandh5games.site,Chile,"1,072",15,1.40%,5.83,5.44,"1,232",99.35%
11/11/24,skylandh5games.site,China,11,0,0.00%,0.03,2.88,14,100.00%
11/11/24,skylandh5games.site,Estonia,6,0,0.00%,0.12,19.57,6,100.00%
11/11/24,skylandh5games.site,France,"1,210",31,2.56%,29.27,24.19,"1,321",95.16%
11/11/24,skylandh5games.site,Germany,"2,915",72,2.47%,99.14,34.01,"3,131",95.53%
11/11/24,skylandh5games.site,Greece,"3,305",106,3.21%,28.72,8.69,"3,946",87.35%
11/11/24,skylandh5games.site,Italy,"4,501",144,3.20%,66.76,14.83,"5,679",82.18%
11/11/24,skylandh5games.site,Jamaica,4,0,0.00%,0.01,2.78,5,100.00%
11/11/24,skylandh5games.site,Latvia,5,1,20.00%,0.07,14.85,5,100.00%
11/11/24,skylandh5games.site,Luxembourg,6,0,0.00%,0.09,15.75,6,100.00%
11/11/24,skylandh5games.site,Romania,4,1,25.00%,0.02,6.08,4,100.00%
11/11/24,skylandh5games.site,Singapore,"2,196",41,1.87%,35.62,16.22,"2,669",94.30%
11/11/24,skylandh5games.site,Spain,"1,183",30,2.54%,18.86,15.95,"1,275",95.53%
11/11/24,skylandh5games.site,Ukraine,0,0,0.00%,0.00,0.00,5,100.00%
11/11/24,skylandh5games.site,United Kingdom,836,22,2.63%,21.95,26.25,925,94.70%
11/11/24,skylandh5games.site,United States,"2,058",50,2.43%,80.48,39.11,"2,776",85.88%
11/11/24,skylandh5games.site,Venezuela,7,0,0.00%,0.01,0.74,7,100.00%
11/11/24,vanguardh5.site,N/A,21,1,4.76%,0.03,1.59,29,96.55%
11/11/24,vanguardh5.site,Armenia,5,0,0.00%,0.02,3.64,6,100.00%
11/11/24,vanguardh5.site,Belgium,5,0,0.00%,0.07,13.42,5,100.00%
11/11/24,vanguardh5.site,Bermuda,2,0,0.00%,0.01,4.85,2,100.00%
11/11/24,vanguardh5.site,Brazil,"2,933",69,2.35%,15.22,5.19,"3,994",91.41%
11/11/24,vanguardh5.site,Myanmar (Burma),3,0,0.00%,0.00,0.22,4,100.00%
11/11/24,vanguardh5.site,Canada,"4,322",116,2.68%,154.32,35.71,"6,205",94.73%
11/11/24,vanguardh5.site,China,3,0,0.00%,0.00,0.23,4,100.00%
11/11/24,vanguardh5.site,Finland,"1,128",44,3.90%,43.89,38.91,"1,636",73.29%
11/11/24,vanguardh5.site,France,"4,744",117,2.47%,92.97,19.60,"5,562",90.99%
11/11/24,vanguardh5.site,French Guiana,18,0,0.00%,0.10,5.64,18,100.00%
11/11/24,vanguardh5.site,Germany,"4,749",125,2.63%,119.11,25.08,"5,392",93.92%
11/11/24,vanguardh5.site,Greece,"4,804",149,3.10%,41.04,8.54,"6,382",81.31%
11/11/24,vanguardh5.site,India,5,0,0.00%,0.01,1.29,6,100.00%
11/11/24,vanguardh5.site,Indonesia,657,23,3.50%,1.08,1.64,"1,039",81.23%
11/11/24,vanguardh5.site,Italy,13,0,0.00%,0.17,13.00,19,100.00%
11/11/24,vanguardh5.site,Japan,"1,238",40,3.23%,34.20,27.62,"1,932",82.71%
11/11/24,vanguardh5.site,Latvia,30,0,0.00%,0.45,14.84,31,100.00%
11/11/24,vanguardh5.site,Mauritius,2,0,0.00%,0.01,2.60,4,100.00%
11/11/24,vanguardh5.site,Netherlands,"1,436",39,2.72%,41.81,29.12,"1,678",90.52%
11/11/24,vanguardh5.site,Portugal,"3,370",107,3.18%,28.81,8.55,"4,641",78.50%
11/11/24,vanguardh5.site,Romania,3,0,0.00%,0.02,5.94,3,100.00%
11/11/24,vanguardh5.site,Spain,3,0,0.00%,0.02,6.69,3,100.00%
11/11/24,vanguardh5.site,Switzerland,955,26,2.72%,47.75,50.00,"1,148",88.41%
11/11/24,vanguardh5.site,United Arab Emirates,3,0,0.00%,0.02,5.93,4,100.00%
11/11/24,vanguardh5.site,United Kingdom,"3,292",85,2.58%,85.29,25.91,"3,852",91.23%
11/11/24,vanguardh5.site,United States,"2,964",87,2.94%,124.62,42.05,"4,777",81.47%
11/12/24,cloudgaminghub.site,N/A,69,2,2.90%,0.07,1.03,101,81.19%
11/12/24,cloudgaminghub.site,Australia,"1,222",31,2.54%,38.49,31.49,"1,824",78.95%
11/12/24,cloudgaminghub.site,Brazil,"3,199",87,2.72%,16.73,5.23,"5,016",74.30%
11/12/24,cloudgaminghub.site,Myanmar (Burma),7,0,0.00%,0.00,0.56,7,100.00%
11/12/24,cloudgaminghub.site,Canada,"1,098",30,2.73%,48.88,44.51,"1,880",69.79%
11/12/24,cloudgaminghub.site,China,6,0,0.00%,0.01,1.16,41,58.54%
11/12/24,cloudgaminghub.site,Estonia,7,0,0.00%,0.77,109.51,7,100.00%
11/12/24,cloudgaminghub.site,Finland,505,9,1.78%,13.47,26.68,582,99.31%
11/12/24,cloudgaminghub.site,France,"1,517",34,2.24%,38.44,25.34,"2,424",73.56%
11/12/24,cloudgaminghub.site,Germany,660,17,2.58%,43.66,66.15,950,80.53%
11/12/24,cloudgaminghub.site,Greece,"3,789",121,3.19%,32.84,8.67,"5,531",79.48%
11/12/24,cloudgaminghub.site,Indonesia,3,0,0.00%,0.00,1.18,5,80.00%
11/12/24,cloudgaminghub.site,Italy,"6,616",160,2.42%,108.88,16.46,"10,309",74.97%
11/12/24,cloudgaminghub.site,Latvia,4,1,25.00%,0.03,7.12,5,100.00%
11/12/24,cloudgaminghub.site,Netherlands,"3,173",98,3.09%,117.03,36.88,"5,240",72.18%
11/12/24,cloudgaminghub.site,Pakistan,3,0,0.00%,0.00,1.46,5,60.00%
11/12/24,cloudgaminghub.site,Singapore,"7,803",192,2.46%,152.51,19.54,"12,395",73.34%
11/12/24,cloudgaminghub.site,Vietnam,13,0,0.00%,0.01,0.66,18,83.33%
11/12/24,cloudgaminghub.site,Switzerland,786,19,2.42%,47.87,60.90,"1,140",79.12%
11/12/24,cloudgaminghub.site,United Arab Emirates,6,0,0.00%,0.02,3.17,7,85.71%
11/12/24,cloudgaminghub.site,Turkiye,4,0,0.00%,0.00,0.90,5,100.00%
11/12/24,cloudgaminghub.site,Ukraine,3,0,0.00%,0.00,0.49,5,80.00%
11/12/24,cloudgaminghub.site,United Kingdom,927,23,2.48%,32.17,34.70,"1,502",72.70%
11/12/24,cloudgaminghub.site,United States,907,26,2.87%,47.39,52.25,"1,469",73.66%
11/12/24,funtimeh5.site,N/A,87,4,4.60%,0.16,1.88,106,100.00%
11/12/24,funtimeh5.site,Australia,"1,785",50,2.80%,54.03,30.27,"2,537",83.80%
11/12/24,funtimeh5.site,Brazil,856,14,1.64%,4.07,4.76,"1,066",94.65%
11/12/24,funtimeh5.site,Canada,627,17,2.71%,24.93,39.76,858,85.78%
11/12/24,funtimeh5.site,Chile,692,11,1.59%,2.67,3.86,843,96.44%
11/12/24,funtimeh5.site,China,21,0,0.00%,0.07,3.28,25,96.00%
11/12/24,funtimeh5.site,Croatia,6,1,16.67%,0.04,7.33,6,100.00%
11/12/24,funtimeh5.site,Estonia,5,0,0.00%,0.18,35.76,5,100.00%
11/12/24,funtimeh5.site,France,"2,254",62,2.75%,56.88,25.23,"2,457",95.03%
11/12/24,funtimeh5.site,Germany,808,23,2.85%,24.01,29.71,880,94.77%
11/12/24,funtimeh5.site,Greece,"2,218",69,3.11%,18.31,8.26,"2,444",95.01%
11/12/24,funtimeh5.site,Hungary,5,0,0.00%,0.28,56.02,5,100.00%
11/12/24,funtimeh5.site,India,2,1,50.00%,0.05,25.69,2,100.00%
11/12/24,funtimeh5.site,Indonesia,0,0,0.00%,0.00,0.00,4,25.00%
11/12/24,funtimeh5.site,Iraq,3,0,0.00%,0.00,0.85,4,100.00%
11/12/24,funtimeh5.site,Italy,"4,372",116,2.65%,63.86,14.61,"4,953",92.07%
11/12/24,funtimeh5.site,Jamaica,3,0,0.00%,0.03,10.46,4,100.00%
11/12/24,funtimeh5.site,Japan,"3,794",106,2.79%,103.45,27.27,"5,135",87.01%
11/12/24,funtimeh5.site,Kenya,21,0,0.00%,0.01,0.64,24,100.00%
11/12/24,funtimeh5.site,Latvia,3,0,0.00%,0.02,6.49,3,100.00%
11/12/24,funtimeh5.site,Netherlands,"2,841",85,2.99%,102.56,36.10,"3,108",95.01%
11/12/24,funtimeh5.site,Sint Maarten,3,1,33.33%,0.01,2.23,4,100.00%
11/12/24,funtimeh5.site,New Zealand,3,0,0.00%,0.00,0.38,4,100.00%
11/12/24,funtimeh5.site,Philippines,3,0,0.00%,0.00,0.27,4,100.00%
11/12/24,funtimeh5.site,Romania,3,0,0.00%,0.02,7.90,3,100.00%
11/12/24,funtimeh5.site,Saint Kitts and Nevis,3,0,0.00%,0.00,0.97,4,100.00%
11/12/24,funtimeh5.site,Singapore,"4,816",113,2.35%,85.17,17.68,"6,154",91.45%
11/12/24,funtimeh5.site,Spain,775,22,2.84%,10.29,13.28,858,93.24%
11/12/24,funtimeh5.site,Switzerland,"1,709",56,3.28%,95.19,55.70,"1,865",95.50%
11/12/24,funtimeh5.site,United Arab Emirates,6,1,16.67%,0.00,0.75,8,100.00%
11/12/24,funtimeh5.site,Turkiye,6,0,0.00%,0.01,2.03,6,100.00%
11/12/24,funtimeh5.site,United Kingdom,"4,436",125,2.82%,142.51,32.12,"4,879",94.53%
11/12/24,funtimeh5.site,United States,"5,999",129,2.15%,268.64,44.78,"8,340",85.80%
11/12/24,skylandh5games.site,N/A,13,1,7.69%,0.04,2.90,16,93.75%
11/12/24,skylandh5games.site,Antigua and Barbuda,11,0,0.00%,0.04,3.51,12,100.00%
11/12/24,skylandh5games.site,Australia,"1,282",26,2.03%,44.03,34.35,"1,675",88.00%
11/12/24,skylandh5games.site,Austria,"5,032",220,4.37%,140.33,27.89,"6,129",84.92%
11/12/24,skylandh5games.site,Belgium,"4,292",154,3.59%,103.04,24.01,"5,101",87.12%
11/12/24,skylandh5games.site,Brazil,989,15,1.52%,5.01,5.07,"1,260",89.37%
11/12/24,skylandh5games.site,Cambodia,4,0,0.00%,0.00,1.25,5,100.00%
11/12/24,skylandh5games.site,Canada,575,11,1.91%,21.93,38.13,797,83.31%
11/12/24,skylandh5games.site,Chile,"1,009",22,2.18%,4.12,4.08,"1,242",92.91%
11/12/24,skylandh5games.site,China,8,0,0.00%,0.02,2.10,10,100.00%
11/12/24,skylandh5games.site,Croatia,6,0,0.00%,0.04,6.48,6,100.00%
11/12/24,skylandh5games.site,France,"1,161",31,2.67%,31.66,27.27,"1,319",90.90%
11/12/24,skylandh5games.site,Germany,"2,912",76,2.61%,109.43,37.58,"3,139",95.38%
11/12/24,skylandh5games.site,Greece,"3,071",105,3.42%,28.77,9.37,"3,938",80.80%
11/12/24,skylandh5games.site,Hungary,4,0,0.00%,0.08,18.94,4,100.00%
11/12/24,skylandh5games.site,Indonesia,2,0,0.00%,0.00,0.93,2,100.00%
11/12/24,skylandh5games.site,Italy,"5,473",193,3.53%,90.58,16.55,"7,743",73.49%
11/12/24,skylandh5games.site,Jamaica,8,0,0.00%,0.03,4.21,10,100.00%
11/12/24,skylandh5games.site,Libya,4,0,0.00%,0.00,0.28,5,100.00%
11/12/24,skylandh5games.site,Singapore,"2,698",71,2.63%,42.45,15.73,"3,540",87.40%
11/12/24,skylandh5games.site,Spain,"2,534",73,2.88%,39.92,15.75,"2,864",91.20%
11/12/24,skylandh5games.site,Sweden,4,0,0.00%,0.08,19.42,4,100.00%
11/12/24,skylandh5games.site,Ukraine,5,0,0.00%,0.01,1.04,7,100.00%
11/12/24,skylandh5games.site,United Kingdom,854,22,2.58%,27.43,32.12,918,94.99%
11/12/24,skylandh5games.site,United States,"1,811",46,2.54%,86.01,47.49,"2,606",80.66%
11/12/24,vanguardh5.site,N/A,36,0,0.00%,0.03,0.95,47,100.00%
11/12/24,vanguardh5.site,Brazil,"3,671",93,2.53%,20.02,5.45,"5,736",81.71%
11/12/24,vanguardh5.site,Canada,"4,061",119,2.93%,180.44,44.43,"6,491",83.64%
11/12/24,vanguardh5.site,China,6,0,0.00%,0.01,2.04,8,100.00%
11/12/24,vanguardh5.site,Democratic Republic of the Congo,3,0,0.00%,0.00,1.43,4,100.00%
11/12/24,vanguardh5.site,Costa Rica,3,0,0.00%,0.02,6.31,4,100.00%
11/12/24,vanguardh5.site,Croatia,5,0,0.00%,0.05,10.31,5,100.00%
11/12/24,vanguardh5.site,Czechia,5,1,20.00%,0.13,25.60,5,100.00%
11/12/24,vanguardh5.site,Finland,"1,070",42,3.93%,44.03,41.15,"1,658",70.08%
11/12/24,vanguardh5.site,France,"3,895",106,2.72%,87.63,22.50,"4,920",84.23%
11/12/24,vanguardh5.site,French Guiana,19,0,0.00%,0.12,6.28,19,100.00%
11/12/24,vanguardh5.site,Germany,"4,394",115,2.62%,130.82,29.77,"5,140",91.56%
11/12/24,vanguardh5.site,Greece,"5,459",176,3.22%,51.49,9.43,"8,035",74.28%
11/12/24,vanguardh5.site,Guadeloupe,3,0,0.00%,0.01,3.15,3,100.00%
11/12/24,vanguardh5.site,Hungary,3,1,33.33%,0.03,8.46,4,100.00%
11/12/24,vanguardh5.site,India,3,0,0.00%,0.01,1.98,3,100.00%
11/12/24,vanguardh5.site,Indonesia,661,22,3.33%,1.04,1.57,"1,151",73.68%
11/12/24,vanguardh5.site,Iraq,8,0,0.00%,0.01,1.73,10,100.00%
11/12/24,vanguardh5.site,Italy,6,0,0.00%,0.08,13.82,6,100.00%
11/12/24,vanguardh5.site,Japan,"1,232",39,3.17%,39.51,32.07,"2,099",77.08%
11/12/24,vanguardh5.site,Latvia,84,2,2.38%,1.06,12.64,87,100.00%
11/12/24,vanguardh5.site,Mozambique,3,0,0.00%,0.00,0.45,4,100.00%
11/12/24,vanguardh5.site,Netherlands,"1,360",40,2.94%,46.17,33.95,"1,617",90.23%
11/12/24,vanguardh5.site,Pakistan,11,0,0.00%,0.01,0.92,14,100.00%
11/12/24,vanguardh5.site,Portugal,"4,561",137,3.00%,45.11,9.89,"6,211",79.46%
11/12/24,vanguardh5.site,South Africa,3,0,0.00%,0.03,9.95,4,100.00%
11/12/24,vanguardh5.site,Switzerland,918,24,2.61%,51.16,55.73,"1,040",93.65%
11/12/24,vanguardh5.site,United Arab Emirates,13,1,7.69%,0.14,10.63,16,100.00%
11/12/24,vanguardh5.site,Ukraine,5,0,0.00%,0.02,3.04,6,100.00%
11/12/24,vanguardh5.site,United Kingdom,"3,014",88,2.92%,87.52,29.04,"3,579",90.05%
11/12/24,vanguardh5.site,United States,"3,007",93,3.09%,134.80,44.83,"4,835",80.58%
Total,,,"1,733,801","47,097",2.72%,"40,019.38",23.08,"2,332,162",87.29%
